[0.186s] Invoking command in '/home/amightyk05/ros2_sw/build/pal_urdf_utils': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy:/home/amightyk05/ros2_sw/install/launch_pal /usr/bin/cmake /home/amightyk05/ros2_sw/src/omni_based_robot/pal_urdf_utils -DCMAKE_INSTALL_PREFIX=/home/amightyk05/ros2_sw/install/pal_urdf_utils
[0.197s] -- Found ament_cmake_auto: 2.5.6 (/opt/ros/jazzy/share/ament_cmake_auto/cmake)
[0.371s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.441s] -- Found ament_lint_auto: 0.17.5 (/opt/ros/jazzy/share/ament_lint_auto/cmake)
[0.447s] -- Added test 'copyright' to check source files copyright and LICENSE
[0.451s] -- Added test 'lint_cmake' to check CMake code style
[0.452s] -- Added test 'xmllint' to check XML markup files
[0.453s] -- Configuring done (0.3s)
[0.455s] -- Generating done (0.0s)
[0.456s] -- Build files have been written to: /home/amightyk05/ros2_sw/build/pal_urdf_utils
[0.458s] Invoked command in '/home/amightyk05/ros2_sw/build/pal_urdf_utils' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy:/home/amightyk05/ros2_sw/install/launch_pal /usr/bin/cmake /home/amightyk05/ros2_sw/src/omni_based_robot/pal_urdf_utils -DCMAKE_INSTALL_PREFIX=/home/amightyk05/ros2_sw/install/pal_urdf_utils
[0.459s] Invoking command in '/home/amightyk05/ros2_sw/build/pal_urdf_utils': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy:/home/amightyk05/ros2_sw/install/launch_pal /usr/bin/cmake --build /home/amightyk05/ros2_sw/build/pal_urdf_utils -- -j20 -l20
[0.490s] Invoked command in '/home/amightyk05/ros2_sw/build/pal_urdf_utils' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy:/home/amightyk05/ros2_sw/install/launch_pal /usr/bin/cmake --build /home/amightyk05/ros2_sw/build/pal_urdf_utils -- -j20 -l20
[0.498s] Invoking command in '/home/amightyk05/ros2_sw/build/pal_urdf_utils': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy:/home/amightyk05/ros2_sw/install/launch_pal /usr/bin/cmake --install /home/amightyk05/ros2_sw/build/pal_urdf_utils
[0.503s] -- Install configuration: ""
[0.503s] -- Execute custom install script
[0.504s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/OS1-64.urdf.xacro
[0.504s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/elp_rgb.gazebo.xacro
[0.504s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/elp_rgb.urdf.xacro
[0.504s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/imx179_camera.gazebo.xacro
[0.504s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/openni.gazebo.xacro
[0.504s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/openni_talos.gazebo.xacro
[0.504s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/orbbec_astra.urdf.xacro
[0.504s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/orbbec_astra_pro.gazebo.xacro
[0.505s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/orbbec_astra_pro.urdf.xacro
